teks,emosi,level,jawaban
hallo,senang,ringan,Halo! Senang bertemu denganmu. Ada yang bisa aku bantu hari ini?
hai,senang,ringan,Hai juga! Semoga harimu menyenangkan. Apa yang ingin kamu ceritakan?
selamat pagi,senang,ringan,Selamat pagi! Semoga harimu penuh
saya capek banget dengan tugas sekolah,stres,sedang,Istirahat sejenak yuk. Kamu sudah berusaha hebat hari ini.
pelajaran makin susah dan bikin pusing,stres,sedang,Jangan dipaksakan sekaligus. Coba kerjakan pelan-pelan ya.
saya stres karena tuntutan nilai,stres,sedang,Nilai itu penting tapi kesehatan mentalmu jauh lebih utama.
kepala saya penuh mikir pelajaran,stres,sedang,Coba lakukan hobi sejenak agar pikiranmu lebih segar kembali.
saya tertekan dengan tugas sekolah,stres,sedang,Mungkin kamu bisa membuat daftar prioritas tugas yang paling mendesak.
tugas menumpuk bikin saya ingin menyerah,stres,berat,Kamu tidak sendirian. Guru BK siap membantu jika kamu merasa kewalahan.
saya takut tidak lulus ujian,stres,berat,Fokus pada persiapan saat ini. Hasil akhir adalah buah dari usaha kerasmu.
saya susah konsentrasi saat belajar,stres,sedang,Cobalah belajar dengan teknik Pomodoro (25 menit belajar 5 menit istirahat).
saya merasa cemas di sekolah,stres,sedang,Latihan pernapasan bisa membantu menenangkan rasa cemasmu.
saya bingung mau lanjut kuliah dimana,stres,ringan,Konsultasikan minat dan bakatmu dengan guru BK untuk saran terbaik.
saya kurang tidur karena tugas,stres,sedang,Kesehatanmu nomor satu. Atur jadwal agar tetap bisa tidur cukup.
saya lelah secara mental,stres,ringan,Jangan lupa untuk tidur yang cukup. Tubuh dan pikiranmu butuh waktu untuk pulih.
saya merasa bodoh dan gagal,sedih,sedang,Setiap orang punya waktu masing-masing untuk bersinar. Jangan menyerah!
saya minder dengan teman-teman,sedih,sedang,Fokuslah pada progres dirimu sendiri bukan pencapaian orang lain.
saya merasa hidup saya kosong,sedih,sedang,Tidak apa-apa merasa begini. Cobalah bicara dengan orang yang kamu percayai.
saya sedih tanpa sebab yang jelas,sedih,ringan,Terkadang emosi butuh ruang untuk keluar. Menangis itu manusiawi.
saya kecewa dengan diri sendiri,sedih,ringan,Kegagalan adalah bagian dari belajar. Berikan dirimu kesempatan lagi.
saya menangis di kamar setiap malam,sedih,berat,Ini terdengar berat. Maukah kamu mempertimbangkan bicara langsung ke guru BK?
saya merasa tidak punya teman di kelas,sedih,sedang,Mungkin butuh waktu untuk menemukan teman yang cocok. Tetaplah jadi dirimu sendiri.
saya merasa tidak berbakat dalam apapun,sedih,ringan,Bakat seringkali ditemukan melalui percobaan berkali-kali. Teruslah mencoba.
saya merasa terisolasi di sekolah,sedih,sedang,Cobalah ikuti ekstrakurikuler untuk mencari lingkaran pertemanan baru.
saya merasa masa depan saya suram,sedih,berat,Masa depan ditentukan oleh langkahmu hari ini. Mulailah dari langkah kecil.
saya capek harus pura-pura bahagia,sedih,berat,Kamu tidak perlu selalu terlihat kuat. Ekspresikan apa yang kamu rasakan.
saya sering merasa kesepian,sedih,sedang,Ingatlah bahwa kamu tidak sendirian. Ada orang-orang yang peduli padamu.
saya gampang marah akhir-akhir ini,marah,sedang,Tarik napas dalam-dalam. Mari kita cari tahu apa yang sebenarnya mengganggumu.
saya benci hari senin karena sekolah,marah,sedang,Hari Senin memang berat tapi coba temukan satu hal kecil yang bikin senang.
temen saya sering mengejek saya,marah,sedang,Abaikan mereka yang tidak menghargaimu. Kamu berharga apa adanya.
guru memberikan beban terlalu banyak,marah,sedang,Cobalah komunikasikan dengan guru tersebut atau cari teman diskusi.
saya sering dibully di sekolah,marah,berat,Ini masalah serius. Mohon segera lapor ke guru atau pihak sekolah ya.
saya benci pelajaran matematika,marah,ringan,Wajar jika ada pelajaran yang sulit. Coba cari bantuan tutor atau teman.
